street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24981,G00023896,COWENHOVEN LN
NA,11 AVE,NA,NA,NA,NA,NA,NA,NA,24982,G00023897,11 AVE
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24983,G00023898,COWENHOVEN LN
NA,57,NA,NA,NA,NA,NA,NA,NA,24984,G00023899,57
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24985,G00023900,COWENHOVEN LN
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24986,G00023901,COWENHOVEN LN
NA,53,NA,NA,NA,NA,NA,NA,NA,24987,G00023902,53
NA,OCEAN AVE,NA,NA,NA,NA,NA,NA,NA,24988,G00023903,OCEAN AVE
NA,55,NA,NA,NA,NA,NA,NA,NA,24989,G00023904,55
NA,56,NA,NA,NA,NA,NA,NA,NA,24990,G00023905,56
NA,57,NA,NA,NA,NA,NA,NA,NA,24991,G00023906,57
NA,58,NA,NA,NA,NA,NA,NA,NA,24992,G00023907,58
NA,59,NA,NA,NA,NA,NA,NA,NA,24993,G00023908,59
NA,OCEAN AVE,NA,NA,NA,NA,NA,NA,NA,24994,G00023909,OCEAN AVE
NA,11 AVE,NA,NA,NA,NA,NA,NA,NA,24995,G00023910,11 AVE
NA,62,NA,NA,NA,NA,NA,NA,NA,24996,G00023911,62
NA,OCEAN AVE,NA,NA,NA,NA,NA,NA,NA,24997,G00023912,OCEAN AVE
NA,61,NA,NA,NA,NA,NA,NA,NA,24998,G00023913,61
NA,62,NA,NA,NA,NA,NA,NA,NA,24999,G00023914,62
NA,64,NA,NA,NA,NA,NA,NA,NA,25000,G00023915,64
NA,OCEAN AVE,NA,NA,NA,NA,NA,NA,NA,25001,G00023916,OCEAN AVE
NA,60,NA,NA,NA,NA,NA,NA,NA,25002,G00023917,60
NA,18 AVE,NA,NA,NA,NA,NA,NA,NA,25003,G00023918,18 AVE
NA,OCEAN AVE,NA,NA,NA,NA,NA,NA,NA,25004,G00023919,OCEAN AVE
NA,18 AVE,NA,NA,NA,NA,NA,NA,NA,25005,G00023920,18 AVE
NA,18 AVE,NA,NA,NA,NA,NA,NA,NA,25006,G00023921,18 AVE
NA,OVINGTON AVE,NA,NA,NA,NA,NA,NA,NA,25007,G00023922,OVINGTON AVE
NA,FRANKLIN,NA,NA,NA,NA,NA,NA,NA,25008,G00023923,FRANKLIN
NA,NEW UTRECHT RD,NA,NA,NA,NA,NA,NA,NA,25009,G00023924,NEW UTRECHT RD
NA,NEW UTRECHT RD,NA,NA,NA,NA,NA,NA,NA,25010,G00023925,NEW UTRECHT RD
NA,FRANKLIN,NA,NA,NA,NA,NA,NA,NA,25011,G00023926,FRANKLIN
