ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street73
124,5,6,DRIGGS AVE,METROPOLITAN AVE,N 2,N 4,N 5,N 6,N 7,ROEBLING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,6,7,8,9,AINSLIE,GRAND,HAVEMEYER,HOPE,MARCY AVE,METROPOLITAN AVE,N 2,N 4,N 5,N 6,N 7,RODNEY,ROEBLING,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,5,6,7,DRIGGS AVE,FROST,HAVEMEYER,JACKSON,N 10,N 11,N 12,N 2,N 7,N 8,N 9,ROEBLING,SKILLMAN AVE,UNION AVE,VAN COTT AVE,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,4,5,BANKER,BEDFORD AVE,DRIGGS AVE,JANE,N 10,N 11,N 12,N 13,N 14,N 6,N 7,N 8,N 9,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,10,11,12,9,AINSLIE,DEVOE,GRAND,HOOPER,HOPE,KEAP,LORIMER,MAUJER,METROPOLITAN AVE,N 2,N 7,RODNEY,S 1,S 2,TEN EYCK,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,AINSLIE,DEVOE,GRAND,HOPE,LEONARD,LORIMER,MAUJER,POWERS,TEN EYCK,TENEYCK,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,AINSLIE,EWEN,GRAHAM AVE,GRAND,LEONARD,LORIMER,MANHATTAN AVE,MAUJER,POWERS,TEN EYCK,TEN EYCK WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,AINSLIE,BUSHWICK AVE,DEVOE,GRAHAM AVE,GRAND,HUMBOLDT,MAUJER,MORRELL,POWERS,TEN EYCK,TEN EYCK WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,AINSLIE,BUSHWICK AVE,CONSELYEA,DEVOE,EWEN,GRAHAM AVE,HUMBOLDT,LEONARD,LORIMER,MANHATTAN AVE,MASPETH AVE,METROPOLITAN AVE,N 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,EWEN,FROST,GRAHAM AVE,HEBERT,HERBERT,HUMBOLDT,JACKSON,LEONARD,MANHATTAN AVE,MEEKER AVE,RICHARDSON,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,BUSHWICK AVE,CONSELYEA,EWEN,GRAHAM AVE,HUMBOLDT,JACKSON,LEONARD,MANHATTAN AVE,SKILLMAN AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,5,6,BAYARD,DRIGGS AVE,FROST,GUERNSEY,JACKSON,JANE,LEONARD,LORIMER,MANHATTAN AVE,N 10,N 11,N 12,N 14,N 15,NEWTON,RICHARDSON,UNION AVE,VAN COTT AVE,VAN PELT AVE,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,CONSELYEA,JACKSON,LEONARD,LORIMER,METROPOLITAN AVE,N 2,N 7,SKILLMAN AVE,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,10,11,9,BROADWAY,HOOPER,KEAP,RODNEY,S 3,S 4,S 5,S 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,10,11,12,9,HEWES,HOOPER,KEAP,S 2,S 3,S 4,SCHOLES,STAGG,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,12,BOERUM,BROADWAY,HEWES,HEYWARD,JOHNSON AVE,LORIMER,MCKIBBIN,MIDDLETON,MONTROSE AVE,PENN,RUTLEDGE,S 5,SEIGEL,THROOP AVE,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,11,12,BROADWAY,DIVISION AVE,HEWES,HOOPER,LORIMER,MESEROLE,MONTROSE AVE,S 3,S 4,S 5,SCHOLES,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,12,LEONARD,LORIMER,S 2,S 3,SCHOLES,STAGG,TEN EYCK,TENEYCK,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,BOERUM,JOHNSON AVE,LEONARD,LORIMER,MESEROLE,MONTROSE AVE,SCHOLES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,EWEN,GRAHAM AVE,LEONARD,MANHATTAN AVE,SCHOLES,STAGG,STAGG WALK,TEN EYCK,TEN EYCK WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,EWEN,GRAHAM AVE,LEONARD,MANHATTAN AVE,MESEROLE,MONTROSE AVE,SCHOLES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,BUSHWICK AVE,GRAHAM AVE,HUMBOLDT,MESEROLE,MONTROSE AVE,MORRELL,SCHOLES,STAGG,STAGG WALK,TEN EYCK,TEN EYCK WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,BUSHWICK AVE,BUSHWICK PL,HUMBOLDT,MAUJER,MESEROLE,MONTROSE AVE,MORRELL,SCHOLES,STAGG,STAGG WALK,TEN EYCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,BOERUM,BUSHWICK AVE,GRAHAM AVE,HUMBOLDT,JOHNSON AVE,MONTROSE AVE,MORRELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,BOERUM,BUSHWICK AVE,BUSHWICK PL,GRAHAM AVE,HUMBOLDT,JOHNSON AVE,MC KIBBIN,MCKIBBIN,MONTROSE AVE,MORRELL,SEIGEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,BOERUM,BROADWAY,EWEN,GRAHAM AVE,LEONARD,LORIMER,MANHATTAN AVE,MC KIBBIN,MCKIBBIN,SEIGEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,BOERUM,EWEN,GRAHAM AVE,JOHNSON AVE,LEONARD,MANHATTAN AVE,MC KIBBIN,MCKIBBIN,MONTROSE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,BARTLETT,BROADWAY,COOK,DEBEVOISE,EWEN,GERRY,GRAHAM AVE,LEONARD,MANHATTAN AVE,MOORE,SEIGEL,VARET,WALLABOUT,WHIPPLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,COOK,EWEN,GRAHAM AVE,HUMBOLDT,MANHATTAN AVE,MOORE,SEIGEL,VARET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,BUSHWICK AVE,COOK,HUMBOLDT,MOORE,MORRELL,SEIGEL,VARET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,BEAVER,BROADWAY,BUSHWICK AVE,COOK,DEBEVOISE,FLUSHING AVE,GARDEN,GRAHAM AVE,HUMBOLDT,MORRELL,YATES PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,ANN,ASH,BLUE,BOX,CLAY,COMMERCIAL,DICK,DUPONT,EAGLE,EVE,FELL,FRANKLIN,MANHATTAN AVE,N BAY,OAKLAND,PINK,POTTERY BEACH,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,ASH,BOX,BRANT,CLAY,DUCK,DUPONT,EAGLE,MANHATTAN AVE,OAKLAND,PAIDGE AVE,PEQUOT,PROVOST,RANTON,SETAUKET,SHAWNETT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,DUCK,EAGLE,FREEMAN,GREEN,GREENE,HENRY PL,HOLLAND,KINGLAND AVE,LEYDEN,MANHATTAN AVE,N HENRY,OAKLAND,PAIDGE AVE,PROVOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,EMERY,GREEN,GREENE,GREENPOINT AVE,HURON,INDIA,JAVA,KINGLAND AVE,KINGSLAND AVE,LEYDEN,MANHATTAN AVE,N HENRY,OAKLAND,PAIDGE AVE,PROVOST,SUTTON,WALLOCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,GREENPOINT AVE,JAVA,KENT,MANHATTAN AVE,MONITOR,MOULTRIE,N HENRY,OAKLAND,PROVOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,CALYER,CHARLICK,DIAMOND,ECKFORD,FRONT PL,GREENPOINT AVE,HUMBOLDT,JAVA,JEWEL,JEWELL,KINGLAND AVE,KINGSLAND AVE,LEONARD,MANHATTAN AVE,MESEROLE AVE,MILTON,MONITOR,MORGAN AVE,MOULTRIE,N HENRY,NEWELL,NOBLE,OAKLAND,PROVOST,RUSSELL,SUTTON,VAIL,WRIGHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,APOLLO,BRIDGEWATER,CHARLICK,DIAMOND,ECKFORD,FRONT PL,HAUSMAN,HUMBOLDT,JEWEL,JEWELL,KINGLAND AVE,KINGSLAND AVE,LEONARD,MANHATTAN AVE,MESEROLE AVE,MONITOR,MORGAN AVE,MOULTRIE,N HENRY,NEWELL,NORMAN,NORMAN AVE,OAKLAND,POLLOCK,RUSSELL,SUTTON,WEBSTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,4,APOLLO,BRIDGEWATER,BRIDGEWATR,DIAMOND,ECKFORD,FRONT PL,HAUSMAN,HUMBOLDT,JEWEL,JEWELL,KINGLAND AVE,KINGSLAND AVE,LAKE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,MORSE,MOULTRIE,N HENRY,NASSAU AVE,NASSAU PL,NEWELL,NORMAN,NORMAN AVE,OAKLAND,RUSSELL,STEWART AVE,SUTTON,VAN DAM,VANDAM,VARICK,VARICK AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,EAGLE,FRANKLIN,FREEMAN,GREEN,GREENE,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,FRANKLIN,GREEN,GREENE,HURON,INDIA,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,FRANKLIN,INDIA,JAVA,KENT,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,FRANKLIN,GREENPOINT AVE,KENT,MANHATTAN AVE,MILTON,NOBLE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,BANKER,CALYER,DOBBIN,FRANKLIN,GUERNSEY,LORIMER,MANHATTAN AVE,NOBLE,OAK,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,1,2,3,4,BANKER,BEDFORD AVE,CALYER,CLIFFORD PL,DOBBIN,DRIGGS AVE,FRANKLIN,GEM,GUERNSEY,JANE,LORIMER,MANHATTAN AVE,MESEROLE AVE,N 14,N 15,NASSAU AVE,NORMAN,NORMAN AVE,QUAY,VAN COTT AVE,WEST,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,APOLLO,DIAMOND,DRIGGS AVE,ECKFORD,HAUSMAN,HUMBOLDT,JEWEL,KINGLAND AVE,KINGSLAND AVE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,NASSAU AVE,NASSAU PL,NEWELL,OAKLAND,PORTER AVE,RUSSELL,SUTTON,VAN COTT AVE,VAN DAM,VANDAM,VANDERVOORT AVE,VARICK,VARICK AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,BAYARD,BROOME,DIAMOND,DRIGGS AVE,ECKFORD,ENGERT AVE,EWEN,GRAHAM AVE,HUMBOLDT,JANE,KINGLAND AVE,KINGSLAND AVE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,NEWTON,OAKLAND,RICHARDSON,RUSSELL,SUTTON,VAN COTT AVE,VAN PELT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,AMOS,ANTHONY,BANZETT,BEADEL,BENNETT,CHERRY,DEBEVOISE AVE,DIVISION PL,EWEN,FROST,GARDNER AVE,GRAHAM AVE,HAUSMAN,HEBERT,HERBERT,HUMBOLDT,KINGLAND AVE,KINGSLAND AVE,LOMBARDY,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,PORTER AVE,RICHARDSON,SCOTT AVE,STEWART AVE,SUTTON,THOMAS,TOWNSEND,VAN COTT AVE,VAN PELT AVE,VANDAM,VANDERVOORT AVE,VANDERVORT AVE,VARICK,VARICK AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,BANZETT,BENNETT,BENTON,BULLION,BUSHWICK AVE,CONSELYEA,DEBEVOISE AVE,FROST,GARDNER AVE,HUMBOLDT,JACKSON,KINGLAND AVE,KINGSLAND AVE,MASPETH AVE,MORGAN AVE,N 2,OLD WOOD POINT RD,PARKER,PORTER AVE,SCOTT AVE,SENECA AVE,SKILLMAN AVE,STEWART AVE,VANDERVOORT AVE,VANDERVORT AVE,VARICK AVE,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
