ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49
33,APLE,APLE ST,BROADWAY W,DUANE,FRANKLIN,GREENWICH,HARRISON,HUDSON,JAY,LEONARD,READE,THOMAS,W  BROADWAY,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,CANAL,CANAL  PARK,DESBROSSES,GREENWICH,HUDSON,NORTH RIVER,VERY,VERY ST,WASHINGTON,WASHINTON,WATTS,WE ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,BEACH,BROADWAY W,CANAL,ERICSSON PL,GREENWICH,HUDSON,JOHN\'S LN,LAIGHT,SAINT JOHN'S LN,VARICK,VERY,VERY ST,W  BROADWAY,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,BEACH,COLLIER,COLLIER ST,GREENWICH,HUBERT,HUDSON,LAIGHT,NORTH RIVER,NULL,VERY,VERY ST,WASHINGTON,WE ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,BROADWAY,CARDINAL,CENTRE,CHAMBERS,CITY HALL PARK,CITY HALL PL,CITY HALL SQ,DUANE,ELM,LAFAYETTE,MAIL,MANHATTAN ALY,MANHATTAN PL,NASSAU,OTTENDONFER SQUARE,PARK,PARK ROW,PEARL,READE,REPUBLICAN ALY,SAINT ANDREW'S PLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,BENSON,BENSON PL,BROADWAY,CANAL,CATHERINE LN,CENTRE,CORTLANDT ALY,ELM,FRANKLIN,LAFAYETTE,LEONARD,MAIN,PEARL,WALKER,WHITE,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,CENTRE,CITY JAIL,TOMBS CITY JAIL,WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,BAXTER,CANAL,CENTRE,FRANKLIN,LEONARD,MAIN,WALKER,WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,BAXTER,CENTRE,LEONARD,MIRIAM PL,MISSION PL,PARK,PARK ROW,PEARL,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,BAXTER,MIRIAM PL,PARK,PARK ROW,PEARL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
