ED,Name,JoinId,Full_Name,Name1910,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source
398,SUTTON,G00024605,SUTTON,NULL,NULL,1,17,2,18,16626,Morse geo
399,MONITOR,G00009024,MONITOR,NULL,NULL,NA,NA,114,186,4429,Morse geo
399,MONITOR,G00024320,MONITOR,NULL,NULL,77,109,78,104,11947,Morse geo
400,MONITOR,G00009024,MONITOR,NULL,NULL,NA,NA,114,186,4429,Morse geo
400,MONITOR,G00015093,MONITOR,NULL,NULL,73,75,NA,NA,7473,Morse geo
400,MONITOR,G00024320,MONITOR,NULL,NULL,77,109,78,104,11947,Morse geo
401,RUSSELL,G00010457,RUSSELL,NULL,NULL,79,143,NA,NA,5150,Morse geo
402,MEEKER AVE,G00021943,MEEKER AVE,NULL,NULL,103,115,88,106,16635,Morse geo
403,HUMBOLDT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
404,HUMBOLDT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
405,HUMBOLDT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
406,GRAHAM AVE,G00003798,GRAHAM AVE,NULL,NULL,559,573,560,576,1902,Morse geo
406,GRAHAM AVE,G00005410,GRAHAM AVE,NULL,NULL,509,531,524,538,2707,Morse geo
406,GRAHAM AVE,G00025793,GRAHAM AVE,NULL,NULL,533,557,540,558,12670,Morse geo
407,HUMBOLDT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
408,DIVISION PL,G00003489,DIVISION PL,NULL,NULL,1,19,2,20,1754,Morse geo
409,BENTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
410,HUMBOLDT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
411,DEBEVOISE AVE,G00010971,DEBEVOISE AVE,NULL,NULL,NA,NA,NA,NA,16430,Morse geo
411,DEBEVOISE AVE,G00010971,DEBEVOISE AVE,NULL,NULL,NA,NA,NA,NA,16433,Morse geo
412,OLIVE,G00025952,OLIVE,NULL,NULL,NA,NA,NA,NA,12750,Morse geo
412,OLIVE,G00020406,OLIVE,NULL,NULL,NA,NA,NA,NA,10071,Morse geo
413,METROPOLITAN AVE,G00020892,METROPOLITAN AVE,NULL,NULL,823,903,816,906,10301,Morse geo
413,METROPOLITAN AVE,G00022796,METROPOLITAN AVE,NULL,NULL,809,821,812,814,11231,Morse geo
414,MORGAN AVE,G00013652,MORGAN AVE,NULL,NULL,NA,NA,NA,NA,6744,Morse geo
414,MORGAN AVE,G00013666,MORGAN AVE,NULL,NULL,NA,NA,NA,NA,6753,Morse geo
415,OLIVE,G00011560,OLIVE,NULL,NULL,NA,NA,NA,NA,5704,Morse geo
415,OLIVE,G00032909,OLIVE,NULL,NULL,NA,NA,NA,NA,16084,Morse geo
416,FLUSHING AVE,G00003902,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,1951,Morse geo
416,FLUSHING AVE,G00007046,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,3505,Morse geo
416,FLUSHING AVE,G00009165,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,4497,Morse geo
416,FLUSHING AVE,G00017473,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,8635,Morse geo
416,FLUSHING AVE,G00017635,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,8709,Morse geo
416,FLUSHING AVE,G00018877,FLUSHING AVE,NULL,NULL,1099,1119,1084,1100,9319,Morse geo
416,FLUSHING AVE,G00019398,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,9569,Morse geo
416,FLUSHING AVE,G00024452,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,12019,Morse geo
416,FLUSHING AVE,G00025721,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,12641,Morse geo
416,FLUSHING AVE,G00028779,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,14096,Morse geo
416,FLUSHING AVE,G00030720,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,15035,Morse geo
416,FLUSHING AVE,G00030832,FLUSHING AVE,NULL,NULL,NA,NA,NA,NA,15089,Morse geo
416,FLUSHING AVE,NULL,NULL,FLUSHING AVE,NULL,NA,NA,NA,NA,17071,Morse geo
417,MEADOW,G00000278,MEADOW,NULL,NULL,1,39,2,40,139,Morse geo
418,LA GRANGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
420,WATERBURY,G00008627,WATERBURY,NULL,NULL,59,73,60,76,4241,Morse geo
421,JOHNSON AVE,G00001212,JOHNSON AVE,NULL,NULL,261,313,250,314,621,Morse geo
421,JOHNSON AVE,G00031443,JOHNSON AVE,NULL,NULL,321,369,316,364,15398,Morse geo
422,MOORE,G00023699,MOORE,NULL,NULL,237,275,234,270,11640,Morse geo
422,MOORE,G00000712,MOORE,NULL,NULL,161,235,160,232,369,Morse geo
423,WHITE,G00015856,WHITE,NULL,NULL,1,15,2,20,7848,Morse geo
423,WHITE,G00021254,WHITE,NULL,NULL,17,31,22,40,10485,Morse geo
424,FLUSHING AVE,G00004705,FLUSHING AVE,NULL,NULL,967,977,938,944,2356,Morse geo
424,FLUSHING AVE,G00009751,FLUSHING AVE,NULL,NULL,945,965,910,936,4787,Morse geo
424,FLUSHING AVE,G00024644,FLUSHING AVE,NULL,NULL,979,995,946,952,12118,Morse geo
424,FLUSHING AVE,G00029059,FLUSHING AVE,NULL,NULL,897,943,878,908,14218,Morse geo
425,JOHNSON AVE,G00026124,JOHNSON AVE,NULL,NULL,NA,NA,NA,NA,12840,Morse geo
425,JOHNSON AVE,G00028138,JOHNSON AVE,NULL,NULL,NA,NA,NA,NA,13780,Morse geo
425,JOHNSON AVE,G00030850,JOHNSON AVE,NULL,NULL,NA,NA,NA,NA,15098,Morse geo
426,MORGAN AVE,G00007081,MORGAN AVE,NULL,NULL,33,47,34,48,3519,Morse geo
426,MORGAN AVE,G00024629,MORGAN AVE,NULL,NULL,49,63,50,64,12110,Morse geo
427,PORTER AVE,G00002857,PORTER AVE,NULL,NULL,NA,NA,NA,NA,1432,Morse geo
429,MORTON,G00006792,MORTON,NULL,NULL,51,99,44,104,16538,Morse geo
430,RUSH,G00004491,RUSH,NULL,NULL,1,31,2,NA,16535,Morse geo
431,WALLABOUT CANAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
432,CLASSON AVE,NULL,NULL,CLASSON AVE,NULL,55,79,NA,NA,16555,Morse geo
432,CLASSON AVE,NULL,NULL,CLASSON AVE,NULL,NA,NA,NA,NA,16557,Morse geo
433,ROSS,G00031309,ROSS,NULL,NULL,15,67,16,66,16513,Morse geo
433,ROSS,G00010195,ROSS,NULL,NULL,69,125,68,122,16523,Morse geo
434,KENT AVE,G00015155,KENT AVE,KENT AVE,NULL,631,647,634,652,16505,Morse geo
434,KENT AVE,G00015155,KENT AVE,KENT AVE,NULL,667,687,NA,NA,16549,Morse geo
434,KENT AVE,G00015155,KENT AVE,KENT AVE,NULL,649,665,654,NA,16550,Morse geo
435,LEE AVE,G00001035,LEE AVE,NULL,NULL,NA,NA,2,20,528,Morse geo
435,LEE AVE,G00001491,LEE AVE,NULL,NULL,83,99,80,98,762,Morse geo
435,LEE AVE,G00007050,LEE AVE,NULL,NULL,63,79,60,78,3507,Morse geo
435,LEE AVE,G00025586,LEE AVE,NULL,NULL,43,61,40,58,12577,Morse geo
435,LEE AVE,G00025415,LEE AVE,NULL,NULL,19,41,22,38,16526,Morse geo
435,LEE AVE,G00025415,LEE AVE,NULL,NULL,NA,NA,NA,NA,16527,Morse geo
436,RODNEY,G00010757,RODNEY,NULL,NULL,181,237,186,242,5297,Morse geo
437,PENN,G00030917,PENN,NULL,NULL,1,39,NA,38,15132,Morse geo
437,PENN,G00031614,PENN,NULL,NULL,41,101,40,118,15483,Morse geo
438,HEYWARD,G00007320,HEYWARD,NULL,NULL,1,11,2,12,3631,Morse geo
438,HEYWARD,G00019617,HEYWARD,NULL,NULL,13,63,14,66,9681,Morse geo
439,PENN,G00002492,PENN,NULL,NULL,103,151,122,163,1249,Morse geo
440,PENN,G00028869,PENN,NULL,NULL,153,211,170,224,14136,Morse geo
441,LEE AVE,G00008719,LEE AVE,NULL,NULL,101,119,100,116,4280,Morse geo
441,LEE AVE,G00030179,LEE AVE,NULL,NULL,121,137,118,136,14778,Morse geo
442,HOOPER,G00019407,HOOPER,NULL,NULL,NA,NA,294,302,9576,Morse geo
442,HOOPER,G00024348,HOOPER,NULL,NULL,NA,NA,NA,NA,11967,Morse geo
442,HOOPER,G00032114,HOOPER,NULL,NULL,223,281,292,230,15720,Morse geo
443,HOOPER,G00019407,HOOPER,NULL,NULL,NA,NA,294,302,9576,Morse geo
443,HOOPER,G00024348,HOOPER,NULL,NULL,NA,NA,NA,NA,11967,Morse geo
443,HOOPER,G00032114,HOOPER,NULL,NULL,223,281,292,230,15720,Morse geo
444,PENN,G00024169,PENN,NULL,NULL,213,268,226,286,11863,Morse geo
445,MARCY AVE,G00032266,MARCY AVE,NULL,NULL,NA,NA,346,364,15798,Morse geo
447,LORIMER,G00016035,LORIMER,NULL,NULL,1,5,2,6,7933,Morse geo
447,LORIMER,G00030995,LORIMER,NULL,NULL,7,65,8,66,15177,Morse geo
448,MARCY AVE,G00015801,MARCY AVE,NULL,NULL,429,433,422,444,7815,Morse geo
448,MARCY AVE,G00020574,MARCY AVE,NULL,NULL,435,461,434,450,10156,Morse geo
448,MARCY AVE,G00026528,MARCY AVE,NULL,NULL,407,427,400,420,13025,Morse geo
449,MIDDLETON,G00016083,MIDDLETON,NULL,NULL,141,147,110,124,7961,Morse geo
450,THROOP AVE,G00018184,THROOP AVE,NULL,NULL,13,31,32,50,8986,Morse geo
451,LYNCH,G00003461,LYNCH,NULL,NULL,221,247,210,246,1743,Morse geo
452,MARCY AVE,G00002475,MARCY AVE,NULL,NULL,365,383,366,382,1242,Morse geo
452,MARCY AVE,G00032266,MARCY AVE,NULL,NULL,NA,NA,346,364,15798,Morse geo
453,WALTON,G00002899,WALTON,NULL,NULL,97,145,84,116,1457,Morse geo
453,WALTON,G00024302,WALTON,NULL,NULL,145,149,118,126,11933,Morse geo
454,WALLABOUT,G00001796,WALLABOUT,NULL,NULL,317,337,402,420,917,Morse geo
454,WALLABOUT,G00011967,WALLABOUT,NULL,NULL,279,315,364,400,5879,Morse geo
455,WALTON,G00031767,WALTON,NULL,NULL,43,81,30,64,15552,Morse geo
456,MARCY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
457,WHIPPLE,G00002380,WHIPPLE,NULL,NULL,1,39,2,34,1200,Morse geo
458,THROOP AVE,G00000676,THROOP AVE,NULL,NULL,89,105,100,120,349,Morse geo
458,THROOP AVE,G00015435,THROOP AVE,NULL,NULL,NA,NA,NA,NA,7650,Morse geo
458,THROOP AVE,G00015913,THROOP AVE,NULL,NULL,109,125,122,140,7870,Morse geo
459,PORTLAND AVE N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
460,PARK AVE,G00010477,PARK AVE,NULL,NULL,109,131,106,124,5155,Morse geo
