OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,y1910_hnyc_street,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,y1910ED_Left,y1910ED_Right
294,{00000000-0000-0000-0000-000000000000},G00000029,NY,NEW YORK,MANHATTAN,GRAND,1,1,NA,NA,164,172,165,171,NA,NA,NA,NA,NA,GRAND,G00000029,149.827409045019,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,149.827402444871,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:27,HNYC_COLUMBIA,NA,792,792
295,{00000000-0000-0000-0000-000000000000},G00000030,NY,NEW YORK,MANHATTAN,E 102,1,1,NA,NA,101,131,100,128,NA,NA,NA,NA,NA,E 102,G00000030,471.548333190916,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,471.548312439114,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:27,HNYC_COLUMBIA,NA,399,398
296,{00000000-0000-0000-0000-000000000000},G00000031,NY,NEW YORK,MANHATTAN,THAYER,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,THAYER,G00000031,799.982233504743,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/17/2019 20:31:47,RSE2121_COLUMBIA,799.98219828195,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:27,HNYC_COLUMBIA,NA,675,675
297,{00000000-0000-0000-0000-000000000000},G00000033,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,1709,1727,1706,1728,NA,NA,NA,NA,NA,BROADWAY,G00000033,264.84651595595,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,264.846504304761,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:27,HNYC_COLUMBIA,NA,1289,1289
298,{00000000-0000-0000-0000-000000000000},G00000034,NY,NEW YORK,MANHATTAN,W 138,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,W 138,G00000034,62.2273911549101,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/16/2019 23:18:27,AMV2173_COLUMBIA,62.2273884136577,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:28,HNYC_COLUMBIA,NA,709,705
299,{00000000-0000-0000-0000-000000000000},G00000035,NY,NEW YORK,MANHATTAN,E 13,1,1,NA,NA,35,57,36,58,NA,NA,NA,NA,NA,E 13,G00000035,418.249179640753,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,418.249161226312,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:28,HNYC_COLUMBIA,NA,823,823
300,{00000000-0000-0000-0000-000000000000},G00000036,NY,NEW YORK,MANHATTAN,MADISON AVE,1,1,NA,NA,1250,1274,1249,1271,NA,NA,NA,NA,NA,MADISON AVE,G00000036,261.402261359664,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,261.402249860631,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:28,HNYC_COLUMBIA,NA,481,481
301,{00000000-0000-0000-0000-000000000000},G00000037,NY,NEW YORK,MANHATTAN,RIVERSIDE DR,1,1,NA,NA,NA,NA,338,346,NA,NA,M,NA,NA,RIVERSIDE DR,G00000037,279.880435214597,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/13/2019 1:25:42,AMV2173_COLUMBIA,279.880422909367,7/22/2019 17:22:53,HNYC_COLUMBIA,3/20/2020 15:09:14,MSL2215_COLUMBIA,NA,731,731
302,{00000000-0000-0000-0000-000000000000},G00000038,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,3881,3899,NA,NA,NA,NA,NA,NA,NA,BROADWAY,G00000038,258.962163866665,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/17/2019 0:15:15,AMV2173_COLUMBIA,258.962152461685,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:28,HNYC_COLUMBIA,NA,686,688
303,{00000000-0000-0000-0000-000000000000},G00000039,NY,NEW YORK,MANHATTAN,E 86,1,1,NA,NA,101,131,100,130,NA,NA,NA,NA,NA,E 86,G00000039,479.118756725658,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,479.118735635174,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:28,HNYC_COLUMBIA,NA,378,383
304,{00000000-0000-0000-0000-000000000000},G00000040,NY,NEW YORK,MANHATTAN,W 25,1,1,NA,NA,400,466,401,463,NA,NA,NA,NA,NA,W 25,G00000040,900.629274767317,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,900.629235107463,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:29,HNYC_COLUMBIA,NA,850,849
305,{00000000-0000-0000-0000-000000000000},G00000041,NY,NEW YORK,MANHATTAN,W 228,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,W 228,G00000041,494.995341335489,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/17/2019 18:53:54,RSE2121_COLUMBIA,494.995319537763,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 19:10:29,HNYC_COLUMBIA,NA,NA,NA
306,{00000000-0000-0000-0000-000000000000},G00000042,NY,NEW YORK,MANHATTAN,MC KENNA SQ,1,1,NA,AUDUBON AVE,NA,NA,1,3,NA,NA,NA,NA,NA,AUDUBON AVE,G00000042,106.239095019211,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/17/2019 1:44:31,AMV2173_COLUMBIA,106.239090340516,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:29,HNYC_COLUMBIA,NA,685,685
307,{00000000-0000-0000-0000-000000000000},G00000043,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,BROADWAY,G00000043,807.92071682353,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 21:48:34,AMV2173_COLUMBIA,807.920681244808,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:29,HNYC_COLUMBIA,NA,725,725
308,{00000000-0000-0000-0000-000000000000},G00000044,NY,NEW YORK,MANHATTAN,LEX AVE,1,1,NA,LEXINGTON AVE,1250,1262,1241,1257,NA,NA,NA,NA,NA,LEXINGTON AVE,G00000044,264.380760794956,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,264.380749168565,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:29,HNYC_COLUMBIA,NA,383,384
