ED,Name,OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,source
11,BEEKMAN,1360,{00000000-0000-0000-0000-000000000000},G00001126,NY,NEW YORK,MANHATTAN,BEEKMAN,1,1,NA,NA,122,140,121,139,NA,NA,NA,NA,NA,G00001126,194.196921154242,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,194.196912608405,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:58,HNYC_COLUMBIA,NA,Morse geo
11,BEEKMAN,6324,{00000000-0000-0000-0000-000000000000},G00006229,NY,NEW YORK,MANHATTAN,BEEKMAN,1,1,NA,NA,142,156,NA,NA,NA,NA,NA,NA,NA,G00006229,217.880607055965,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,217.880597471429,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:42:43,HNYC_COLUMBIA,NA,Morse geo
11,BEEKMAN,6793,{00000000-0000-0000-0000-000000000000},G00006704,NY,NEW YORK,MANHATTAN,BEEKMAN,1,1,NA,NA,62,90,63,89,NA,NA,NA,NA,NA,G00006704,415.128870898848,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,415.128852615603,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:09,HNYC_COLUMBIA,NA,Morse geo
12,BARCLAY,1757,{00000000-0000-0000-0000-000000000000},G00001534,NY,NEW YORK,MANHATTAN,BARCLAY,1,1,NA,NA,24,54,25,55,NA,NA,NA,NA,NA,G00001534,429.861041274133,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,429.86102235552,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:27:19,HNYC_COLUMBIA,NA,Morse geo
12,BARCLAY,2364,{00000000-0000-0000-0000-000000000000},G00002159,NY,NEW YORK,MANHATTAN,BARCLAY,1,1,NA,NA,2,22,1,23,NA,NA,NA,NA,NA,G00002159,509.706982623392,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,509.706960190081,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:14,HNYC_COLUMBIA,NA,Morse geo
13,BARCLAY,644,{00000000-0000-0000-0000-000000000000},G00000387,NY,NEW YORK,MANHATTAN,BARCLAY,1,1,NA,NA,74,86,75,87,NA,NA,NA,NA,NA,G00000387,231.783751593826,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,231.783741381671,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:23:29,HNYC_COLUMBIA,NA,Morse geo
13,BARCLAY,3004,{00000000-0000-0000-0000-000000000000},G00002817,NY,NEW YORK,MANHATTAN,BARCLAY,1,1,NA,NA,58,72,59,73,NA,NA,NA,NA,NA,G00002817,198.483876200467,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,198.483867470778,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:31:09,HNYC_COLUMBIA,NA,Morse geo
13,BARCLAY,6732,{00000000-0000-0000-0000-000000000000},G00006643,NY,NEW YORK,MANHATTAN,BARCLAY,1,1,NA,NA,88,110,89,111,NA,NA,NA,NA,NA,G00006643,346.524583235443,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,346.524567972179,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:43:57,HNYC_COLUMBIA,NA,Morse geo
14,CLIFF,7906,{00000000-0000-0000-0000-000000000000},G00007832,NY,NEW YORK,MANHATTAN,NA,1,1,NA,CLIFF,73,97,74,98,NA,NA,NA,NA,NA,G00007832,354.682219871565,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 19:04:38,AMV2173_COLUMBIA,354.682204240784,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:47:46,HNYC_COLUMBIA,NA,Morse geo
15,CHESTNUT,7065,{00000000-0000-0000-0000-000000000000},G00006978,NY,NEW YORK,MANHATTAN,NA,1,1,NA,CHESTNUT,NA,NA,NA,NA,A,NA,NA,NA,NA,G00006978,117.887979591257,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 2:55:32,AMV2173_COLUMBIA,117.887974397781,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:45:08,HNYC_COLUMBIA,NA,Morse geo
15,CHESTNUT,7068,{00000000-0000-0000-0000-000000000000},G00006981,NY,NEW YORK,MANHATTAN,NA,1,1,NA,CHESTNUT,NA,NA,NA,NA,A,NA,NA,NA,NA,G00006981,105.115902954671,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 2:55:33,AMV2173_COLUMBIA,105.115898332041,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:45:08,HNYC_COLUMBIA,NA,Morse geo
15,CHESTNUT,7074,{00000000-0000-0000-0000-000000000000},G00006987,NY,NEW YORK,MANHATTAN,NA,1,1,NA,CHESTNUT,NA,NA,NA,NA,A,NA,NA,NA,NA,G00006987,119.538877843986,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 2:55:34,AMV2173_COLUMBIA,119.538872576981,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:45:09,HNYC_COLUMBIA,NA,Morse geo
16,BATAVIA,7051,{00000000-0000-0000-0000-000000000000},G00006964,NY,NEW YORK,MANHATTAN,NA,1,1,NA,BATAVIA,NA,NA,1,7,NA,NA,NA,NA,NA,G00006964,188.698746775598,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,188.698738465547,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:45:05,HNYC_COLUMBIA,NA,Morse geo
17,CHERRY,7024,{00000000-0000-0000-0000-000000000000},G00006937,NY,NEW YORK,MANHATTAN,NA,1,1,NA,CHERRY,2,44,1,45,NA,NA,NA,NA,NA,G00006937,586.901130059213,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,586.901104227873,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:59,HNYC_COLUMBIA,NA,Morse geo
18,DOVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
19,BATAVIA,7053,{00000000-0000-0000-0000-000000000000},G00006966,NY,NEW YORK,MANHATTAN,NA,1,1,NA,BATAVIA,14,22,19,23,NA,NA,NA,NA,NA,G00006966,197.315598830421,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,197.315590155208,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:45:05,HNYC_COLUMBIA,NA,Morse geo
20,MADISON,7073,{00000000-0000-0000-0000-000000000000},G00006986,NY,NEW YORK,MANHATTAN,MADISON,1,1,NA,NA,1,3,2,4,NA,NA,NA,NA,NA,G00006986,108.211911908888,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,108.211907132979,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:45:09,HNYC_COLUMBIA,NA,Morse geo
20,MADISON,7076,{00000000-0000-0000-0000-000000000000},G00006989,NY,NEW YORK,MANHATTAN,MADISON,1,1,NA,NA,5,15,6,16,NA,NA,NA,NA,NA,G00006989,154.828736170305,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,154.828729353918,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:45:10,HNYC_COLUMBIA,NA,Morse geo
21,JAMES,6970,{00000000-0000-0000-0000-000000000000},G00006883,NY,NEW YORK,MANHATTAN,NA,1,1,NA,JAMES,2,10,1,11,NA,NA,NA,NA,NA,G00006883,278.415862154386,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,278.415849896503,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:47,HNYC_COLUMBIA,NA,Morse geo
22,JAMES,1004,{00000000-0000-0000-0000-000000000000},G00000761,NY,NEW YORK,MANHATTAN,JAMES,1,1,NA,NA,22,30,29,33,NA,NA,NA,NA,NA,G00000761,258.518295760639,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,258.518284375713,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:24:40,HNYC_COLUMBIA,NA,Morse geo
23,CATHERINE,2450,{00000000-0000-0000-0000-000000000000},G00002249,NY,NEW YORK,MANHATTAN,CATHERINE,1,1,NA,NA,43,59,46,64,NA,NA,NA,NA,NA,G00002249,261.014184286395,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,261.014172798866,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:29,HNYC_COLUMBIA,NA,Morse geo
23,CATHERINE,5780,{00000000-0000-0000-0000-000000000000},G00005669,NY,NEW YORK,MANHATTAN,CATHERINE,1,1,NA,NA,25,41,26,44,NA,NA,NA,NA,NA,G00005669,269.399197346831,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,269.399185479524,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:40:57,HNYC_COLUMBIA,NA,Morse geo
23,CATHERINE,6993,{00000000-0000-0000-0000-000000000000},G00006906,NY,NEW YORK,MANHATTAN,CATHERINE,1,1,NA,NA,61,63,66,68,NA,NA,NA,NA,NA,G00006906,78.0138755294812,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,78.0138720867652,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:52,HNYC_COLUMBIA,NA,Morse geo
24,JAMES,7003,{00000000-0000-0000-0000-000000000000},G00006916,NY,NEW YORK,MANHATTAN,NA,1,1,NA,JAMES,46,72,43,71,NA,NA,NA,NA,NA,G00006916,323.008140293954,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,323.008126075702,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:54,HNYC_COLUMBIA,NA,Morse geo
25,JAMES,7003,{00000000-0000-0000-0000-000000000000},G00006916,NY,NEW YORK,MANHATTAN,NA,1,1,NA,JAMES,46,72,43,71,NA,NA,NA,NA,NA,G00006916,323.008140293954,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,323.008126075702,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:54,HNYC_COLUMBIA,NA,Morse geo
26,CATHERINE,6991,{00000000-0000-0000-0000-000000000000},G00006904,NY,NEW YORK,MANHATTAN,CATHERINE,1,1,NA,NA,80,94,75,87,NA,NA,NA,NA,NA,G00006904,245.311348305732,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,245.311337492438,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:51,HNYC_COLUMBIA,NA,Morse geo
26,CATHERINE,6992,{00000000-0000-0000-0000-000000000000},G00006905,NY,NEW YORK,MANHATTAN,CATHERINE,1,1,NA,NA,65,73,72,78,NA,NA,NA,NA,NA,G00006905,109.192943093445,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,109.192938303317,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:52,HNYC_COLUMBIA,NA,Morse geo
27,CHERRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
28,CATHERINE,5780,{00000000-0000-0000-0000-000000000000},G00005669,NY,NEW YORK,MANHATTAN,CATHERINE,1,1,NA,NA,25,41,26,44,NA,NA,NA,NA,NA,G00005669,269.399197346831,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,269.399185479524,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:40:57,HNYC_COLUMBIA,NA,Morse geo
29,CATHERINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
30,BROADWAY,611,{00000000-0000-0000-0000-000000000000},G00000353,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,335,343,336,344,NA,NA,NA,NA,NA,G00000353,169.950225278168,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,169.950217805628,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:23:23,HNYC_COLUMBIA,NA,Morse geo
30,BROADWAY,1496,{00000000-0000-0000-0000-000000000000},G00001265,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,319,333,320,334,NA,NA,NA,NA,NA,G00001265,225.708267058899,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,225.708257114464,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:27,HNYC_COLUMBIA,NA,Morse geo
30,BROADWAY,2305,{00000000-0000-0000-0000-000000000000},G00002099,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,365,379,364,378,NA,NA,NA,NA,NA,G00002099,250.775376614786,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,250.775365574553,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:03,HNYC_COLUMBIA,NA,Morse geo
30,BROADWAY,2864,{00000000-0000-0000-0000-000000000000},G00002674,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,289,303,290,304,NA,NA,NA,NA,NA,G00002674,241.554912545309,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,241.554901905214,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:30:41,HNYC_COLUMBIA,NA,Morse geo
30,BROADWAY,2865,{00000000-0000-0000-0000-000000000000},G00002675,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,415,417,414,416,NA,NA,NA,NA,NA,G00002675,105.944661741883,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,105.94465707544,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:30:42,HNYC_COLUMBIA,NA,Morse geo
